nation,o_year,sum_profit
ALGERIA,1998,27990284.7661
ALGERIA,1997,48285667.2172
ALGERIA,1996,49443734.7803
ALGERIA,1995,48779408.6201
ALGERIA,1994,48185483.718
ALGERIA,1993,47419272.5287
ALGERIA,1992,47436607.8052
ARGENTINA,1998,29074936.5999
ARGENTINA,1997,49357772.742
ARGENTINA,1996,47785913.4609
ARGENTINA,1995,47823490.4713
ARGENTINA,1994,49799572.1559
ARGENTINA,1993,47565616.9201
ARGENTINA,1992,47488430.5962
BRAZIL,1998,27882074.8117
BRAZIL,1997,47627352.6843
BRAZIL,1996,46438410.794
BRAZIL,1995,44784051.2106
BRAZIL,1994,47500572.7077
BRAZIL,1993,45273082.2387
BRAZIL,1992,48089526.5323
CANADA,1998,28705865.1037
CANADA,1997,47369552.8998
CANADA,1996,50052855.4242
CANADA,1995,51788550.6322
CANADA,1994,50464750.0975
CANADA,1993,51381622.5174
CANADA,1992,49725794.8183
CHINA,1998,26981068.8292
CHINA,1997,46409451.792
CHINA,1996,47538671.3244
CHINA,1995,47321010.6764
CHINA,1994,47621953.3158
CHINA,1993,46086429.7543
CHINA,1992,46622270.9125
EGYPT,1998,28533989.851
EGYPT,1997,45887175.3622
EGYPT,1996,45464075.0048
EGYPT,1995,48036599.25
EGYPT,1994,47389483.2352
EGYPT,1993,46199221.2915
EGYPT,1992,47089821.1003
ETHIOPIA,1998,26876670.3966
ETHIOPIA,1997,44008387.9719
ETHIOPIA,1996,43961639.1671
ETHIOPIA,1995,43392564.2376
ETHIOPIA,1994,45460819.4073
ETHIOPIA,1993,45095205.5019
ETHIOPIA,1992,45006868.2251
FRANCE,1998,26457429.9775
FRANCE,1997,45435638.4811
FRANCE,1996,46782602.1204
FRANCE,1995,45529203.0255
FRANCE,1994,43394095.0211
FRANCE,1993,45832929.0456
FRANCE,1992,44650734.402
GERMANY,1998,27022630.2384
GERMANY,1997,44333313.3751
GERMANY,1996,45897315.1264
GERMANY,1995,44763369.8585
GERMANY,1994,44347124.1706
GERMANY,1993,47326575.2309
GERMANY,1992,45075864.6002
INDIA,1998,29377231.2432
INDIA,1997,48912576.4675
INDIA,1996,49749956.2596
INDIA,1995,50507926.54
INDIA,1994,47505078.9835
INDIA,1993,48898710.2945
INDIA,1992,49590456.4589
INDONESIA,1998,27572672.5199
INDONESIA,1997,46556965.708
INDONESIA,1996,46305508.949
INDONESIA,1995,45837882.869
INDONESIA,1994,44380343.1211
INDONESIA,1993,45033082.6664
INDONESIA,1992,44427616.2079
IRAN,1998,27454758.4612
IRAN,1997,44750227.9889
IRAN,1996,47315148.4964
IRAN,1995,46128690.8194
IRAN,1994,48406793.6313
IRAN,1993,46807039.1875
IRAN,1992,44658747.5801
IRAQ,1998,29263967.7274
IRAQ,1997,53201683.0896
IRAQ,1996,51259554.1744
IRAQ,1995,51812668.6668
IRAQ,1994,52852420.1063
IRAQ,1993,52618637.2007
IRAQ,1992,51627345.8278
JAPAN,1998,23799326.3885
JAPAN,1997,43718007.6647
JAPAN,1996,45807618.302
JAPAN,1995,42085482.9453
JAPAN,1994,41711725.3541
JAPAN,1993,43224659.7909
JAPAN,1992,45273593.2602
JORDAN,1998,24421730.731
JORDAN,1997,40136917.8554
JORDAN,1996,41116380.8347
JORDAN,1995,41382874.1123
JORDAN,1994,40400932.8788
JORDAN,1993,39995234.8098
JORDAN,1992,38775192.8905
KENYA,1998,24307029.0327
KENYA,1997,41393959.6812
KENYA,1996,39311029.3132
KENYA,1995,41434781.2851
KENYA,1994,42214941.6126
KENYA,1993,41831236.7436
KENYA,1992,42950210.2499
MOROCCO,1998,23923089.4556
MOROCCO,1997,43674710.1404
MOROCCO,1996,42196983.1358
MOROCCO,1995,43481946.8575
MOROCCO,1994,43541441.6348
MOROCCO,1993,42362528.7175
MOROCCO,1992,43735936.288
MOZAMBIQUE,1998,27955781.4743
MOZAMBIQUE,1997,47626152.762
MOZAMBIQUE,1996,45961512.2396
MOZAMBIQUE,1995,45278160.2409
MOZAMBIQUE,1994,44587916.6572
MOZAMBIQUE,1993,46434223.337
MOZAMBIQUE,1992,46012218.1224
PERU,1998,29822160.5722
PERU,1997,46085325.3301
PERU,1996,45591334.7433
PERU,1995,48156367.2025
PERU,1994,48763676.5788
PERU,1993,47246432.8484
PERU,1992,46861322.6777
ROMANIA,1998,26590989.7309
ROMANIA,1997,44110947.3808
ROMANIA,1996,45546871.1952
ROMANIA,1995,46559466.0625
ROMANIA,1994,44137378.9557
ROMANIA,1993,44806194.9119
ROMANIA,1992,43636643.511
RUSSIA,1998,25632117.5371
RUSSIA,1997,46026830.8499
RUSSIA,1996,44464205.0522
