s_acctbal,s_name,n_name,p_partkey,p_mfgr,s_address,s_phone,s_comment
9861.11,Supplier#000004137,MOROCCO,74136,Manufacturer#3,yAsSoKR4P8J22Cz57p9vgQkxrdQHA,25-568-662-5131,quests according to the carefully special instructions haggle above the pending pac
9856.55,Supplier#000009878,MOZAMBIQUE,67371,Manufacturer#5,ZGvzOzglmJqRIDFC0JwFi,26-864-214-4496,. deposits after the furiously final requests wake slyly among the furiously ironic deposits. regula
9851.27,Supplier#000004933,MOZAMBIQUE,79918,Manufacturer#5,uokPXnJEkfsUdpT4v,26-701-611-1882,ges. fluffily unusual packages poach slyly quietly bold ideas. final deposits among the f
9825.4,Supplier#000002258,ALGERIA,129745,Manufacturer#5,Q3mYtLg8HodzEIHF6tV7Qf,10-205-637-5432,sts. even forges haggle furiously at the blithely even requests. dependenci
9820.82,Supplier#000003486,ETHIOPIA,985,Manufacturer#5,oKbp0r86ql,15-316-749-3098,"ructions sleep thin, close "
9801.63,Supplier#000008289,ETHIOPIA,788,Manufacturer#3,Mlzk2WZFcza0OGkQKLuUeYxjYjAl,15-203-606-1989,y silent tithes nag blithely. carefully unusual deposit
9801.17,Supplier#000004079,MOZAMBIQUE,71571,Manufacturer#5,GItSLtr6sQjalsBLl6UpnAVKxz3H1J3,26-459-882-1161,"odolites cajole among the blithely final packages. ironic, pending foxes affix."
9747.16,Supplier#000000832,MOROCCO,168315,Manufacturer#1,9v6dBS2tyVCMrUIWm2I5YJj6Ra4hDNY5spH Pywc,25-658-573-4042,y ironic deposits. ironically unusual deposits cajole 
9680.2,Supplier#000002613,MOROCCO,100102,Manufacturer#1,"Cv3FO3DAWDO,Tl",25-972-254-3158,"the furiously pending theodolites. ironic, express packages wake slyly above t"
9655.87,Supplier#000006314,ALGERIA,33810,Manufacturer#4,i3Uh1UMet11Rhkznc3q,10-783-712-7597,s. even requests integrate after the fluff
9624.51,Supplier#000002060,MOZAMBIQUE,52059,Manufacturer#2,  SeWtz zYYisk8yASiL6F 3GiE,26-246-351-1423,ar requests are slyly along the c
9617.42,Supplier#000006100,MOZAMBIQUE,128563,Manufacturer#2,cVbZFuYuEL5Qx1uXPXqzy4QrVBPV,26-484-811-2316,as sleep carefully express accounts? carefully ironic ideas against the blithely quiet theo
9594.51,Supplier#000000818,MOZAMBIQUE,150817,Manufacturer#3,US9 rAlSsOqk78xOW0Vp,26-754-547-4185,s need to engage slyly regular de
9590.05,Supplier#000004601,ETHIOPIA,84600,Manufacturer#2,TKH41Dwi3UrtSMeMWfr9wnqQi9Wh,15-139-205-1544,ial platelets boost. blithely even requests
9590.05,Supplier#000004601,ETHIOPIA,162084,Manufacturer#2,TKH41Dwi3UrtSMeMWfr9wnqQi9Wh,15-139-205-1544,ial platelets boost. blithely even requests
9566.41,Supplier#000005181,KENYA,192661,Manufacturer#2,IlPVoyfL6ZsH2CvVI P5AElmM6stfx,24-842-241-5902,accounts wake furiously accordi
9564.51,Supplier#000008172,ALGERIA,195652,Manufacturer#3,EG5LW m9 hhK6kGxQEQHp,10-463-235-9233,pending excuses. accounts wake along the quickly express ideas. carefully special ac
9511.52,Supplier#000004555,ETHIOPIA,37045,Manufacturer#3,1XAR0nHO 0cd,15-133-503-3928,nst the requests sleep furio
9474.45,Supplier#000003191,MOROCCO,35681,Manufacturer#2,UqXoc98VyF4eOeQYHQH1FaLaB,25-886-362-9931,ickly after the carefully ironic sentiments? accounts wake quickly
9469.81,Supplier#000003458,MOROCCO,145915,Manufacturer#2,riQvthLWyiIE2Vj koeKPq1lENAGCf,25-645-475-6688,t evenly after the regular courts. ironic packages sleep furiously. blithely ironi
9441.3,Supplier#000006449,ETHIOPIA,71434,Manufacturer#3,UaXpiOCi8qGShiSWMRix 4OKu19,15-943-315-1987,olphins are even requests. busily unusual theodolites shall 
9441.3,Supplier#000006449,ETHIOPIA,126448,Manufacturer#4,UaXpiOCi8qGShiSWMRix 4OKu19,15-943-315-1987,olphins are even requests. busily unusual theodolites shall 
9440.83,Supplier#000008577,KENYA,128576,Manufacturer#5,pWw7PtggoxtSjlD,24-320-703-9621, beans solve after the depos
9438.28,Supplier#000000808,MOROCCO,43295,Manufacturer#2,qXsFkfVWmo7GVeKasgiRMTlrPqS,25-297-954-4894,leep thin theodolites. accounts with the c
9324.34,Supplier#000009574,ALGERIA,117062,Manufacturer#4,"tHuVTsDIi5VrmdQPcZZ4VQm0Q5,CJLkxE",10-210-767-2649,ffily pending pinto beans. packages during the carefully regular packages run furiously ironic
9287.33,Supplier#000000231,ETHIOPIA,22724,Manufacturer#4,"y1LlDuqzRCmh,dCST yasci5Zrc2I",15-551-432-9958,special packages. furiously ironic 
9282.6,Supplier#000003771,ALGERIA,186216,Manufacturer#5,MgeC6J4niBTtrEvmx5HT1g,10-321-511-3865,d excuses nag fluffily among the blithe foxes. finally special theodolites wake against
9220.97,Supplier#000002636,KENYA,50130,Manufacturer#2,RkthipmdHBCePAzNHERvP,24-527-297-5348,"bold dolphins. regular, iro"
9194.06,Supplier#000002367,ALGERIA,34857,Manufacturer#1,PWYiixYD6OghRJkAJJIqFLcavxAZsKtuKSyx,10-321-635-8217,ependencies haggle quickly unu
9189.6,Supplier#000006601,MOZAMBIQUE,114089,Manufacturer#1,"NPUU2J,l0P2Sjg63WofAe",26-449-507-9529,ickly bold instructions use finally across the stealthily final pinto beans.
9185.36,Supplier#000002694,MOROCCO,125157,Manufacturer#2,fq0sj11FKvKJM2sbNDhtM,25-668-762-7939,deposits wake above the blithely special decoys. carefully final frets wake about the deposits. bli
