s_name,numwait
Supplier#000001793,20
Supplier#000000418,19
Supplier#000004034,19
Supplier#000000010,18
Supplier#000000318,18
Supplier#000002944,18
Supplier#000000604,17
Supplier#000005590,17
Supplier#000006075,17
Supplier#000008450,17
Supplier#000008660,17
Supplier#000002189,16
Supplier#000002825,16
Supplier#000003822,16
Supplier#000007463,16
Supplier#000007703,16
Supplier#000007766,16
Supplier#000000448,15
Supplier#000000595,15
Supplier#000001578,15
Supplier#000002158,15
Supplier#000002728,15
Supplier#000003333,15
Supplier#000003766,15
Supplier#000003988,15
Supplier#000005315,15
Supplier#000005866,15
Supplier#000006137,15
Supplier#000007516,15
Supplier#000008240,15
Supplier#000009641,15
Supplier#000000888,14
Supplier#000001078,14
Supplier#000001787,14
Supplier#000003219,14
Supplier#000003459,14
Supplier#000003755,14
Supplier#000004594,14
Supplier#000005405,14
Supplier#000005611,14
Supplier#000005615,14
Supplier#000005712,14
Supplier#000005793,14
Supplier#000006145,14
Supplier#000006610,14
Supplier#000006836,14
Supplier#000007235,14
Supplier#000007821,14
Supplier#000008959,14
Supplier#000009384,14
Supplier#000009388,14
Supplier#000009744,14
Supplier#000000046,13
Supplier#000000049,13
Supplier#000000566,13
Supplier#000000866,13
Supplier#000001339,13
Supplier#000001389,13
Supplier#000001620,13
Supplier#000002103,13
Supplier#000002148,13
Supplier#000002335,13
Supplier#000002400,13
Supplier#000002418,13
Supplier#000002558,13
Supplier#000002602,13
Supplier#000003214,13
Supplier#000003673,13
Supplier#000004134,13
Supplier#000004684,13
Supplier#000005577,13
Supplier#000006884,13
Supplier#000006912,13
Supplier#000007130,13
Supplier#000008049,13
Supplier#000008158,13
Supplier#000008265,13
Supplier#000008641,13
Supplier#000008901,13
Supplier#000009077,13
Supplier#000009289,13
Supplier#000009829,13
Supplier#000000405,12
Supplier#000000423,12
Supplier#000000438,12
Supplier#000000484,12
Supplier#000001212,12
Supplier#000001680,12
Supplier#000001826,12
Supplier#000001852,12
Supplier#000001901,12
Supplier#000003463,12
Supplier#000003580,12
Supplier#000003633,12
Supplier#000003704,12
Supplier#000003820,12
Supplier#000003987,12
Supplier#000004017,12
Supplier#000004103,12
Supplier#000004825,12
Supplier#000005510,12
Supplier#000005752,12
Supplier#000005850,12
Supplier#000005914,12
Supplier#000006420,12
Supplier#000006565,12
Supplier#000006609,12
Supplier#000006625,12
Supplier#000006775,12
Supplier#000007230,12
Supplier#000007361,12
Supplier#000008120,12
Supplier#000008696,12
Supplier#000009383,12
Supplier#000009918,12
Supplier#000000389,11
Supplier#000000501,11
Supplier#000001357,11
Supplier#000001587,11
Supplier#000001837,11
Supplier#000001897,11
Supplier#000001984,11
Supplier#000001985,11
Supplier#000002406,11
Supplier#000002524,11
Supplier#000002597,11
Supplier#000002872,11
Supplier#000003211,11
Supplier#000003571,11
Supplier#000003624,11
Supplier#000003729,11
Supplier#000003895,11
Supplier#000003930,11
Supplier#000004159,11
Supplier#000004294,11
Supplier#000004433,11
Supplier#000004493,11
Supplier#000004528,11
Supplier#000004634,11
Supplier#000004695,11
Supplier#000004741,11
Supplier#000004787,11
Supplier#000005063,11
Supplier#000005082,11
Supplier#000005102,11
Supplier#000005115,11
Supplier#000005857,11
Supplier#000006425,11
Supplier#000006578,11
Supplier#000006612,11
Supplier#000006773,11
Supplier#000007348,11
Supplier#000007476,11
Supplier#000007585,11
Supplier#000008799,11
Supplier#000008862,11
Supplier#000008926,11
Supplier#000009210,11
Supplier#000009313,11
Supplier#000009613,11
Supplier#000009669,11
Supplier#000009687,11
Supplier#000000064,10
Supplier#000000087,10
Supplier#000000108,10
Supplier#000000234,10
Supplier#000000620,10
Supplier#000000976,10
Supplier#000001382,10
Supplier#000001458,10
Supplier#000002876,10
Supplier#000003001,10
Supplier#000003051,10
Supplier#000003345,10
Supplier#000003371,10
Supplier#000003509,10
Supplier#000004000,10
Supplier#000004121,10
Supplier#000004461,10
Supplier#000004541,10
Supplier#000004633,10
Supplier#000004864,10
Supplier#000004923,10
Supplier#000005142,10
Supplier#000005458,10
Supplier#000005617,10
Supplier#000005731,10
Supplier#000005780,10
Supplier#000005950,10
Supplier#000006086,10
Supplier#000006151,10
Supplier#000006501,10
Supplier#000006506,10
Supplier#000006647,10
Supplier#000007383,10
Supplier#000007975,10
Supplier#000008009,10
Supplier#000008038,10
Supplier#000008272,10
Supplier#000008758,10
Supplier#000009146,10
Supplier#000009214,10
Supplier#000009275,10
Supplier#000009651,10
Supplier#000009678,10
Supplier#000009771,10
Supplier#000000055,9
Supplier#000000359,9
Supplier#000000397,9
Supplier#000000591,9
Supplier#000000597,9
Supplier#000000787,9
Supplier#000001086,9
Supplier#000001310,9
Supplier#000001329,9
Supplier#000001343,9
Supplier#000001413,9
Supplier#000001492,9
Supplier#000001814,9
Supplier#000001838,9
Supplier#000001948,9
Supplier#000002187,9
Supplier#000002271,9
Supplier#000002318,9
Supplier#000002535,9
Supplier#000002787,9
Supplier#000003127,9
Supplier#000003128,9
Supplier#000003274,9
Supplier#000003299,9
Supplier#000003379,9
Supplier#000003508,9
Supplier#000003649,9
Supplier#000003793,9
Supplier#000003882,9
Supplier#000003886,9
Supplier#000003900,9
Supplier#000004188,9
Supplier#000004846,9
Supplier#000004895,9
Supplier#000005038,9
Supplier#000005365,9
Supplier#000005428,9
Supplier#000005893,9
Supplier#000006077,9
Supplier#000006431,9
Supplier#000006447,9
Supplier#000006577,9
Supplier#000006940,9
Supplier#000007174,9
Supplier#000007695,9
Supplier#000007707,9
Supplier#000007768,9
Supplier#000007825,9
Supplier#000008027,9
