l_orderkey,revenue,o_orderdate,o_shippriority
4163074,437267.7799,1995-02-13,0
606274,419377.5765,1995-03-14,0
1795109,400019.2316,1995-03-19,0
3778628,399682.3516,1995-02-25,0
2692902,394554.8742,1995-03-06,0
181414,393083.4426,1995-03-08,0
1021283,392471.1909,1995-03-26,0
4178471,390099.4832,1995-02-28,0
4739141,385442.5444,1995-03-07,0
5061152,374988.5369,1995-03-15,0
5235941,373361.7169,1995-03-07,0
3615812,370461.6725,1995-03-15,0
4644967,363105.7356,1995-03-18,0
5795075,361382.7386,1995-03-23,0
1824643,361137.481,1995-03-06,0
5256452,360515.2281,1995-03-26,0
5596261,360378.9964,1995-03-10,0
4126753,359946.7068,1995-03-14,0
1984385,359554.1272,1995-03-26,0
4676933,358893.5971,1995-02-07,0
4910983,358768.2273,1995-03-26,0
988454,356076.9614,1995-03-15,0
2131589,355878.2533,1995-03-23,0
5144003,354690.2268,1995-03-14,0
2621574,354458.0172,1995-03-19,0
923942,353970.5095,1995-03-12,0
683681,350834.267,1995-03-03,0
4496835,349338.4789,1995-03-18,0
1381249,346582.9463,1995-03-16,0
624357,345536.9746,1995-03-23,0
4249856,345432.222,1995-03-10,0
2082630,345283.7596,1995-03-19,0
5907623,344555.1566,1995-03-19,0
4874116,343266.4125,1995-02-26,0
347623,343255.9286,1995-02-28,0
3564901,342375.8599,1995-02-20,0
3926631,341302.5651,1995-03-26,0
4986820,340734.6706,1995-02-12,0
1756000,339193.657,1995-03-13,0
2649445,339092.472,1995-02-15,0
4359937,338341.943,1995-03-14,0
1538913,336590.5854,1995-03-18,0
4406050,336572.0949,1995-03-14,0
1843075,335808.0821,1995-03-17,0
1525796,335190.0047,1995-03-19,0
4732004,334046.6732,1995-02-07,0
5073638,333472.0312,1995-03-13,0
3855237,331220.9558,1995-03-19,0
5072611,331023.8519,1995-02-21,0
5246817,329925.3309,1995-03-15,0
3790660,329912.6484,1995-03-26,0
4828800,329908.9924,1995-03-11,0
940608,327637.0782,1995-02-22,0
2247140,326143.7918,1995-03-21,0
2105600,325458.8299,1995-02-19,0
4769126,325019.1186,1995-01-23,0
3380739,322893.4186,1995-03-15,0
900581,322532.4272,1995-02-25,0
5381478,321989.6408,1995-03-14,0
1683522,319545.0663,1995-03-26,0
2208550,319156.2504,1995-03-22,0
1337668,318973.4533,1995-02-08,0
4873664,318078.4196,1995-03-01,0
5671777,316783.814,1995-03-16,0
2151651,316459.2696,1995-03-15,0
4444899,316079.0634,1995-03-15,0
2617473,314785.8566,1995-03-26,0
2595651,314431.9212,1995-03-25,0
135463,314246.0457,1995-03-11,0
3987651,314018.8759,1995-03-26,0
3760130,313818.5056,1995-03-18,0
2230854,312952.0804,1995-03-01,0
4332833,312768.7714,1995-03-13,0
1757283,312732.9546,1995-02-16,0
3033414,312359.8317,1995-02-24,0
2605156,312236.9696,1995-02-18,0
2452422,311304.6967,1995-02-22,0
5522375,310814.4947,1995-01-13,0
2041607,310372.1961,1995-03-18,0
1334374,310093.2052,1995-03-20,0
4588419,309467.936,1995-03-13,0
2489667,309454.2273,1995-03-26,0
4167617,309273.8557,1995-03-08,0
670401,308515.0772,1995-03-23,0
4402085,308460.3456,1995-03-23,0
1310209,308354.8912,1995-02-23,0
2040007,308131.5297,1995-03-07,0
544579,308110.1997,1995-03-04,0
5501606,308012.3941,1995-01-29,0
3294016,307666.0161,1995-02-16,0
