folder_path,reference_coverage
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/0,1.0
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/1,0.6
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/2,0.0
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/3,0.6666666666666666
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/4,0.45454545454545453
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/5,0.7
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/6,1.0
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/7,0.34615384615384615
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/8,0.3448275862068966
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/10,0.6666666666666666
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/11,0.35714285714285715
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/12,1.0
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/13,0.5714285714285714
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/14,0.375
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/15,0.5
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/16,0.5
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/17,0.7894736842105263
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/18,0.23809523809523808
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/19,0.5625
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/21,0.4
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/22,0.43478260869565216
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/23,0.6666666666666666
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/24,0.6
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/25,0.6666666666666666
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/27,0.35714285714285715
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/28,0.6153846153846154
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/29,0.6666666666666666
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/30,0.8333333333333334
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/32,0.4
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/33,0.3125
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/34,0.55
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/35,0.8181818181818182
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/36,0.5
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/37,0.5
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/39,0.0
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/41,0.6666666666666666
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/42,0.0
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/43,0.8
