folder_path,nugget_coverage
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/0,0.4117647058823529
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/1,0.5454545454545454
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/2,0.0
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/3,0.3333333333333333
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/4,0.36363636363636365
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/5,0.45454545454545453
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/6,0.7777777777777778
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/7,0.4
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/8,0.5
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/10,0.25
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/11,0.6
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/12,0.25
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/13,0.47368421052631576
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/14,0.2857142857142857
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/15,0.45454545454545453
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/16,0.23076923076923078
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/17,0.0
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/18,0.3
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/19,0.55
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/21,0.09090909090909091
/Users/ksen/work/kiss/.kiss-worktrees/kiss_wt-1783742102-28c05696/deepscholar_bench_workdir/outputs/results/22,0.6
