l_orderkey,revenue,o_orderdate,o_shippriority
3459808,436029.0279,1995-03-04,0
492164,426168.0874,1995-02-19,0
2456423,406181.0111,1995-03-05,0
2192676,389844.4164,1995-03-07,0
2020610,385595.0357,1995-02-05,0
4487361,381485.733,1995-02-22,0
405063,379459.7229,1995-03-03,0
4393826,379255.7816,1995-03-06,0
2435712,378673.0558,1995-02-26,0
5455494,375787.7068,1995-02-21,0
2628192,373133.3094,1995-02-22,0
993600,371407.4595,1995-03-05,0
3978503,370171.7512,1995-02-09,0
1166660,365967.4424,1995-02-27,0
1083941,365184.4922,1995-02-21,0
4212103,356025.2163,1995-02-14,0
4232067,355384.5423,1995-02-21,0
3946406,353876.4243,1995-02-06,0
2254055,350308.5806,1995-02-01,0
4451046,345194.6947,1995-02-20,0
5084260,344125.8516,1995-01-29,0
4391237,343202.3804,1995-03-05,0
1660512,342900.9212,1995-01-16,0
4200932,341937.3472,1995-03-03,0
4110148,340406.9716,1995-03-02,0
1549319,337587.1629,1995-03-07,0
754912,337349.8889,1995-02-14,0
4289698,336980.431,1995-01-23,0
2517952,336320.9057,1995-02-20,0
4129095,335723.1209,1995-02-17,0
1566307,335640.5543,1995-03-07,0
4175075,335612.1044,1995-02-09,0
5844161,334427.7461,1995-03-05,0
255361,333835.4139,1995-02-22,0
1886340,332807.7322,1995-03-04,0
3681568,332599.8601,1995-02-27,0
217572,332211.6141,1995-03-05,0
1827495,331854.9272,1995-03-04,0
2994211,330726.8306,1995-03-05,0
2376358,330055.0938,1995-02-18,0
2948355,329877.7886,1995-01-21,0
181793,329629.9252,1995-02-14,0
4044166,329134.4979,1995-02-08,0
4346215,329005.1182,1995-02-21,0
4641217,329001.1749,1995-02-15,0
821158,328507.3101,1995-01-09,0
1730400,327607.6553,1995-02-13,0
1908865,327482.1038,1995-03-06,0
4065637,326715.9806,1995-01-19,0
3702215,326568.442,1995-01-25,0
3154627,325810.2556,1995-01-24,0
4225253,325488.0979,1995-02-28,0
1162147,325256.3468,1995-03-03,0
1635941,323680.8228,1995-02-22,0
2548260,323385.3707,1995-02-15,0
2880898,322087.1541,1995-02-23,0
1232902,321384.6178,1995-03-01,0
4878882,320894.249,1995-03-01,0
1000005,320877.1825,1995-02-06,0
236836,320794.6991,1995-02-21,0
4617957,320542.046,1995-01-28,0
3841217,320473.4349,1995-03-05,0
755745,320222.6138,1995-02-22,0
2955847,319815.2854,1995-02-07,0
1220678,319670.3784,1995-02-09,0
5587686,318577.8612,1995-03-07,0
1881824,317585.0749,1995-01-27,0
5901729,317343.4301,1995-03-03,0
1708417,317181.9932,1995-03-05,0
1274374,316332.9715,1995-02-24,0
4456832,316170.0391,1995-02-23,0
3078945,315875.0191,1995-01-09,0
632292,315180.1775,1995-02-26,0
4614758,315040.7636,1995-02-13,0
3717922,314635.9919,1995-01-30,0
964002,314131.9359,1995-02-27,0
4898983,314037.1327,1995-01-30,0
5089889,313272.9441,1995-02-14,0
1092293,313210.6723,1995-03-05,0
2818756,312939.3886,1995-03-06,0
4115877,312893.4749,1995-02-13,0
311266,312371.6538,1995-02-17,0
2288865,311949.4075,1995-02-18,0
4090502,311808.0815,1995-02-02,0
166757,311702.9988,1995-02-28,0
3287808,310998.2967,1995-02-17,0
5188579,310709.6849,1995-02-06,0
2979175,309437.9609,1995-02-27,0
804932,309359.6554,1995-03-05,0
580033,308706.3199,1995-03-02,0
5346629,308421.5634,1995-02-19,0
4373991,308007.3505,1995-03-01,0
1288001,307823.9514,1995-02-27,0
3393030,307407.9861,1995-02-18,0
2509287,306927.0793,1995-03-07,0
3471298,306619.9437,1995-02-10,0
169668,305965.7827,1995-01-12,0
130787,305761.8014,1995-02-03,0
647234,305016.2365,1995-02-05,0
1243684,304914.8458,1995-03-02,0
1160455,304779.5275,1995-03-04,0
5682950,304285.5373,1995-03-05,0
3194598,304232.9069,1995-03-05,0
3628647,303876.7862,1995-02-22,0
1616518,303848.6412,1995-02-25,0
360804,303816.9441,1995-02-23,0
1384993,303763.0696,1995-02-14,0
2419904,303741.7828,1995-03-01,0
3721319,303709.6736,1995-02-10,0
2524006,302207.5544,1995-02-20,0
3940163,302198.2248,1995-02-26,0
5620545,301917.7108,1995-03-07,0
3146982,301479.9333,1995-03-02,0
4258912,301335.9927,1995-02-23,0
3079552,301324.3206,1995-02-13,0
159809,301135.4984,1995-02-08,0
1244295,301096.3571,1995-02-03,0
2852295,300664.324,1995-02-08,0
3775684,300085.2852,1995-02-11,0
2599461,299665.7908,1995-01-31,0
2889126,299665.223,1995-03-06,0
4455074,299664.7127,1995-01-07,0
3461635,299432.7528,1995-02-18,0
1535684,298603.5961,1995-03-06,0
4955012,298189.5699,1995-03-04,0
2142407,298121.4031,1995-02-03,0
2013507,297690.5238,1995-03-06,0
3917859,297647.0262,1995-03-07,0
1190215,296768.8097,1995-02-26,0
40612,296728.9887,1995-03-01,0
5173316,296349.7907,1995-03-02,0
46115,296087.2031,1995-03-03,0
4163941,295975.1248,1995-01-14,0
5151010,295559.479,1995-01-22,0
762690,295530.7388,1995-02-13,0
