nation,o_year,sum_profit
ALGERIA,1998,27829921.0354
ALGERIA,1997,48377454.2451
ALGERIA,1996,48873872.6222
ALGERIA,1995,43898825.6212
ALGERIA,1994,45316394.51
ALGERIA,1993,47719813.6728
ALGERIA,1992,47104223.417
ARGENTINA,1998,29632538.6988
ARGENTINA,1997,49119335.252
ARGENTINA,1996,50177039.5471
ARGENTINA,1995,50037450.0383
ARGENTINA,1994,47943203.7501
ARGENTINA,1993,49156194.0626
ARGENTINA,1992,50048843.6092
BRAZIL,1998,27085559.831
BRAZIL,1997,46517915.6596
BRAZIL,1996,45694084.8481
BRAZIL,1995,44951547.3941
BRAZIL,1994,44301210.142
BRAZIL,1993,45440878.9995
BRAZIL,1992,47180157.4582
CANADA,1998,29734984.0815
CANADA,1997,50396652.5572
CANADA,1996,50017870.1554
CANADA,1995,51785103.0992
CANADA,1994,52640779.3632
CANADA,1993,51695646.7496
CANADA,1992,49143080.933
CHINA,1998,27383421.9031
CHINA,1997,47086459.2019
CHINA,1996,48662856.1988
CHINA,1995,46048508.0226
CHINA,1994,50002714.4284
CHINA,1993,47523672.2941
CHINA,1992,44767628.142
EGYPT,1998,31259175.5913
EGYPT,1997,51717425.6424
EGYPT,1996,50631166.9735
EGYPT,1995,54650192.6679
EGYPT,1994,55145225.2721
EGYPT,1993,54234029.5036
EGYPT,1992,53851362.4744
ETHIOPIA,1998,26133746.4599
ETHIOPIA,1997,44072392.614
ETHIOPIA,1996,45763088.4456
ETHIOPIA,1995,45222165.5477
ETHIOPIA,1994,41802036.8713
ETHIOPIA,1993,42204186.7111
ETHIOPIA,1992,43376333.7118
FRANCE,1998,26614084.2671
FRANCE,1997,46353681.5615
FRANCE,1996,46106717.7491
FRANCE,1995,46580871.013
FRANCE,1994,43562051.1776
FRANCE,1993,44430021.024
FRANCE,1992,45868214.0145
GERMANY,1998,27902235.3817
GERMANY,1997,45791861.7843
GERMANY,1996,45974304.8848
GERMANY,1995,48538021.7229
GERMANY,1994,45201111.1943
GERMANY,1993,47754724.0938
GERMANY,1992,48470578.5374
INDIA,1998,25962461.1855
INDIA,1997,47999552.6981
INDIA,1996,47601471.4175
INDIA,1995,48560069.5419
INDIA,1994,45568145.5631
INDIA,1993,47002451.8791
INDIA,1992,48218876.8425
INDONESIA,1998,29374340.5526
INDONESIA,1997,48900316.7011
INDONESIA,1996,49906605.4808
INDONESIA,1995,49418358.9957
INDONESIA,1994,47054501.9204
INDONESIA,1993,50640031.9236
INDONESIA,1992,47282186.0485
IRAN,1998,27517986.8316
IRAN,1997,47198922.537
IRAN,1996,47854707.5244
IRAN,1995,46668187.9964
IRAN,1994,49662603.9385
IRAN,1993,45879181.6313
IRAN,1992,46551460.6246
IRAQ,1998,31030521.825
IRAQ,1997,48908710.2893
IRAQ,1996,52723033.5308
IRAQ,1995,51238642.3393
IRAQ,1994,55249323.6418
IRAQ,1993,50767220.0221
IRAQ,1992,52125315.229
JAPAN,1998,26448489.6759
JAPAN,1997,43266270.1333
JAPAN,1996,41480468.5648
JAPAN,1995,43589766.4893
JAPAN,1994,42968605.3089
JAPAN,1993,42691559.8186
JAPAN,1992,43647211.193
JORDAN,1998,22019484.5198
JORDAN,1997,40523207.8821
