ps_partkey,value
95727,18468654.96
192614,16522572.2
36506,15517303.99
158854,15349964.58
133801,15105014.96
43497,14855628.67
68386,14808536.15
140332,14541858.05
44007,14323434.23
175703,14265532.05
34940,14248367.28
175288,14100019.17
42248,13870483.97
182305,13745080.86
39934,13700944.88
9015,13666416.14
180098,13664061.09
74374,13610859.08
123921,13581997.76
187359,13461549.35
139541,13429333.19
97314,13355831.82
118160,13354492.58
106647,13298184.72
123473,13297603.28
88037,13169246.11
94817,13127613.48
38491,13122088.82
134581,12930050.5
195609,12901008.39
199913,12793576.31
128497,12779747.0
147818,12675028.37
134325,12535866.34
104818,12503223.0
80593,12459552.76
193688,12414984.58
192467,12288837.42
127801,12233865.95
1665,12231740.1
2822,12230307.35
127818,12175913.92
103260,12152053.89
76153,12079620.99
165032,12056126.04
63374,11975403.75
161397,11915229.87
144860,11863323.7
31012,11836340.13
153696,11799682.55
161759,11779910.27
125924,11767023.74
73263,11720627.81
116840,11677190.24
128617,11639224.72
50749,11516175.06
78497,11503207.11
134930,11497723.1
155336,11447795.35
145888,11381654.4
52385,11381648.95
35673,11377436.91
71867,11371616.76
141621,11341915.35
120797,11335867.55
163977,11332050.03
140350,11330289.76
182616,11324768.55
37827,11308986.59
193993,11306676.19
28075,11279330.68
87730,11243511.31
158225,11202891.75
127948,11187366.43
83079,11183204.05
99842,11175350.39
141525,11167705.88
3497,11166688.38
42402,11145724.58
170892,11142311.85
77388,11114978.64
104584,11102927.36
86649,11101808.03
167502,11076572.42
178220,11059036.38
12836,11008559.53
193255,10971870.95
155872,10966398.92
183244,10875540.45
31879,10875153.91
43828,10849960.77
52344,10821258.2
112395,10727732.52
5238,10719067.74
136459,10710412.56
73897,10705119.36
60916,10701724.35
155009,10681137.49
44590,10636840.89
139835,10628945.65
98299,10603263.16
93998,10563741.4
122335,10539876.6
120313,10534049.28
68067,10530875.32
68500,10509550.17
173802,10508115.47
40024,10506719.91
4885,10492489.16
114576,10461169.5
88982,10453885.41
126000,10449759.17
36018,10432888.58
95933,10414426.34
144576,10404229.74
45993,10363770.05
76649,10351773.72
194643,10330696.88
127045,10322150.6
173461,10310973.11
166337,10282395.2
36003,10281146.77
150663,10274852.36
158148,10269292.72
190332,10258633.47
116644,10228898.76
169951,10213585.85
183417,10212709.92
29889,10210993.77
150045,10193822.61
2395,10191481.41
108333,10166387.13
156310,10165397.98
87435,10163042.31
62864,10129895.93
6731,10110681.25
60573,10079285.61
20985,10066609.11
133989,10062639.44
23107,10046984.95
160547,10044626.08
178719,10039038.27
177822,10026498.3
197009,10017593.31
131782,9989347.99
91488,9987229.44
125941,9965429.05
51871,9964679.05
46409,9959332.44
155871,9945630.75
448,9941036.4
150332,9928495.21
7395,9928240.56
73430,9923257.08
128278,9919603.2
139252,9901505.92
60675,9899492.44
164919,9875340.71
88543,9874868.38
144459,9869603.16
108784,9858382.16
106877,9848349.88
20329,9841523.75
183936,9836437.56
60748,9819739.26
192782,9815260.86
71508,9814612.12
141001,9811633.26
18400,9810386.98
98442,9805172.72
74322,9794920.28
198430,9783473.52
32279,9783390.37
160563,9771987.08
80313,9771932.8
3182,9763797.51
53487,9763546.2
3711,9754452.08
130557,9748778.17
34522,9717205.56
121129,9712666.2
111098,9704414.07
47825,9697078.78
151057,9696903.36
163150,9695101.2
43310,9692675.2
4841,9691513.02
110238,9688788.62
54376,9682548.05
114138,9681068.76
149878,9677498.43
63960,9670792.89
23863,9659741.48
190550,9651053.28
103013,9634563.84
36995,9632718.9
195674,9629524.26
118386,9625966.71
17443,9620125.29
33752,9599844.96
72430,9596530.34
163753,9593549.58
91320,9589874.79
23506,9588147.3
162892,9587800.9
14834,9578645.36
29726,9558558.72
146211,9554238.6
149720,9547019.44
174577,9545483.72
197520,9519782.4
127517,9509137.89
98117,9507040.62
157314,9506390.93
99835,9499611.57
185935,9492974.75
157273,9485756.28
76829,9484075.2
184984,9477222.04
73069,9460150.25
183884,9446674.38
68313,9442854.42
181702,9441728.56
39309,9436759.64
190481,9430519.41
188796,9430385.4
76338,9428826.96
70198,9428310.88
98945,9427415.38
168405,9424222.76
15904,9422101.43
191272,9420844.1
96184,9420272.58
179952,9419359.68
198898,9411665.8
157203,9408892.02
38448,9407292.36
70812,9406430.42
104640,9398594.16
187312,9391399.92
40059,9388585.6
15975,9382128.72
132065,9378198.16
60745,9376227.12
63272,9374056.53
129882,9371111.86
88726,9369102.96
64483,9361520.87
86159,9352086.59
103015,9350398.12
27242,9346029.28
3820,9343084.08
155915,9342889.84
118402,9336511.8
9407,9335386.28
60407,9334599.79
15229,9334503.48
155710,9332900.72
81096,9332400.08
97202,9332235.28
134029,9317753.39
162060,9313733.38
21446,9312513.9
169914,9301282.45
112779,9300514.23
77231,9289004.48
17979,9284648.49
123429,9284075.8
63512,9277424.99
105989,9274534.1
59579,9271239.94
33502,9268963.88
194860,9267005.04
77972,9259705.22
165493,9258663.33
29996,9256956.52
99159,9252696.32
22797,9251529.84
92077,9247562.9
133006,9243802.42
102205,9241741.6
39388,9236063.69
143921,9231156.06
49557,9222312.88
19750,9221017.0
33654,9219212.2
26924,9218000.0
139846,9216193.2
9835,9208665.76
7282,9196492.75
45146,9194101.85
102074,9193584.95
