s_name,numwait
Supplier#000008365,21
Supplier#000008730,21
Supplier#000004171,18
Supplier#000005936,18
Supplier#000001667,17
Supplier#000003023,17
Supplier#000003179,17
Supplier#000006208,17
Supplier#000007790,17
Supplier#000008498,17
Supplier#000000151,16
Supplier#000000331,16
Supplier#000001370,16
Supplier#000002002,16
Supplier#000002369,16
Supplier#000003864,16
Supplier#000004166,16
Supplier#000004216,16
Supplier#000005371,16
Supplier#000006019,16
Supplier#000006306,16
Supplier#000007329,16
Supplier#000007799,16
Supplier#000002392,15
Supplier#000003478,15
Supplier#000004297,15
Supplier#000004484,15
Supplier#000005092,15
Supplier#000005927,15
Supplier#000007095,15
Supplier#000007731,15
Supplier#000008556,15
Supplier#000008797,15
Supplier#000009157,15
Supplier#000000065,14
Supplier#000000314,14
Supplier#000000791,14
Supplier#000000902,14
Supplier#000001013,14
Supplier#000002055,14
Supplier#000002349,14
Supplier#000003183,14
Supplier#000004408,14
Supplier#000004910,14
Supplier#000005976,14
Supplier#000006154,14
Supplier#000006809,14
Supplier#000006855,14
Supplier#000007572,14
Supplier#000008034,14
Supplier#000008112,14
Supplier#000008607,14
Supplier#000008973,14
Supplier#000009234,14
Supplier#000009558,14
Supplier#000000424,13
Supplier#000001419,13
Supplier#000001880,13
Supplier#000002739,13
Supplier#000003461,13
Supplier#000003610,13
Supplier#000003898,13
Supplier#000003914,13
Supplier#000003922,13
Supplier#000004492,13
Supplier#000005406,13
Supplier#000005409,13
Supplier#000005859,13
Supplier#000005864,13
Supplier#000006183,13
Supplier#000006536,13
Supplier#000007110,13
Supplier#000007115,13
Supplier#000007203,13
Supplier#000007591,13
Supplier#000007807,13
Supplier#000008070,13
Supplier#000008454,13
Supplier#000009310,13
Supplier#000009789,13
Supplier#000000174,12
Supplier#000000311,12
Supplier#000000367,12
Supplier#000000746,12
Supplier#000000952,12
Supplier#000001148,12
Supplier#000001526,12
Supplier#000002468,12
Supplier#000002555,12
Supplier#000003450,12
Supplier#000003488,12
Supplier#000003543,12
Supplier#000003754,12
Supplier#000004619,12
Supplier#000004716,12
Supplier#000005346,12
Supplier#000005374,12
Supplier#000006513,12
Supplier#000006908,12
Supplier#000007163,12
Supplier#000007653,12
Supplier#000007806,12
Supplier#000007949,12
Supplier#000008163,12
Supplier#000008387,12
Supplier#000008603,12
Supplier#000008837,12
Supplier#000009241,12
Supplier#000009542,12
Supplier#000009661,12
Supplier#000009705,12
Supplier#000009836,12
Supplier#000000531,11
Supplier#000000561,11
Supplier#000000813,11
Supplier#000001025,11
Supplier#000001760,11
Supplier#000001768,11
Supplier#000001926,11
Supplier#000002433,11
Supplier#000002702,11
Supplier#000002916,11
Supplier#000002987,11
Supplier#000003080,11
Supplier#000003269,11
Supplier#000003418,11
Supplier#000003498,11
Supplier#000004008,11
Supplier#000004016,11
Supplier#000004253,11
Supplier#000004326,11
Supplier#000004460,11
Supplier#000004590,11
Supplier#000004861,11
Supplier#000004941,11
Supplier#000005332,11
Supplier#000006315,11
Supplier#000006410,11
Supplier#000006586,11
Supplier#000007218,11
Supplier#000007444,11
Supplier#000008267,11
Supplier#000008437,11
Supplier#000008522,11
Supplier#000008761,11
Supplier#000008786,11
Supplier#000008869,11
Supplier#000008932,11
Supplier#000008953,11
Supplier#000009232,11
Supplier#000009322,11
Supplier#000009860,11
Supplier#000000146,10
Supplier#000000155,10
Supplier#000000333,10
Supplier#000000466,10
Supplier#000000738,10
Supplier#000000768,10
Supplier#000001002,10
Supplier#000001010,10
Supplier#000001341,10
Supplier#000001372,10
Supplier#000001591,10
Supplier#000001666,10
Supplier#000001867,10
Supplier#000001921,10
Supplier#000001933,10
Supplier#000002470,10
Supplier#000002561,10
Supplier#000002847,10
Supplier#000003114,10
Supplier#000003256,10
Supplier#000003431,10
Supplier#000003990,10
Supplier#000004582,10
Supplier#000004749,10
Supplier#000004976,10
Supplier#000004989,10
Supplier#000005020,10
Supplier#000005051,10
Supplier#000005582,10
Supplier#000005822,10
Supplier#000006286,10
Supplier#000006339,10
Supplier#000006467,10
Supplier#000006533,10
Supplier#000006732,10
Supplier#000006792,10
Supplier#000006866,10
Supplier#000006882,10
Supplier#000007251,10
Supplier#000007466,10
Supplier#000007618,10
Supplier#000007819,10
Supplier#000007980,10
Supplier#000008035,10
Supplier#000008744,10
Supplier#000008854,10
Supplier#000008935,10
Supplier#000008956,10
Supplier#000009352,10
Supplier#000009599,10
Supplier#000000025,9
Supplier#000000040,9
Supplier#000000042,9
Supplier#000000383,9
Supplier#000000546,9
Supplier#000000651,9
Supplier#000000680,9
Supplier#000000903,9
Supplier#000000917,9
Supplier#000001099,9
Supplier#000001349,9
Supplier#000001872,9
Supplier#000001929,9
Supplier#000002124,9
Supplier#000002352,9
Supplier#000002358,9
Supplier#000002386,9
Supplier#000002865,9
Supplier#000003064,9
Supplier#000003255,9
Supplier#000003634,9
Supplier#000003999,9
Supplier#000004092,9
Supplier#000004577,9
Supplier#000004678,9
Supplier#000004783,9
Supplier#000004947,9
Supplier#000004960,9
Supplier#000005033,9
Supplier#000005207,9
Supplier#000005337,9
Supplier#000005494,9
Supplier#000005526,9
Supplier#000005559,9
Supplier#000005610,9
Supplier#000005751,9
Supplier#000005938,9
Supplier#000005942,9
Supplier#000006058,9
Supplier#000006350,9
Supplier#000006473,9
Supplier#000006507,9
Supplier#000007006,9
Supplier#000007010,9
Supplier#000007059,9
Supplier#000007092,9
Supplier#000007436,9
Supplier#000007541,9
Supplier#000007721,9
Supplier#000007823,9
Supplier#000008194,9
Supplier#000008319,9
Supplier#000008334,9
Supplier#000008362,9
Supplier#000008431,9
Supplier#000008509,9
Supplier#000008661,9
Supplier#000008714,9
Supplier#000009010,9
Supplier#000009207,9
Supplier#000009249,9
Supplier#000009379,9
Supplier#000009529,9
Supplier#000009952,9
Supplier#000000016,8
Supplier#000000139,8
Supplier#000000172,8
Supplier#000000330,8
Supplier#000000340,8
Supplier#000001130,8
Supplier#000001176,8
Supplier#000001321,8
Supplier#000001551,8
Supplier#000002032,8
Supplier#000002289,8
Supplier#000002336,8
Supplier#000002396,8
Supplier#000002403,8
Supplier#000002526,8
Supplier#000002542,8
Supplier#000003182,8
Supplier#000003291,8
Supplier#000003712,8
Supplier#000003885,8
Supplier#000004377,8
Supplier#000005517,8
Supplier#000005520,8
Supplier#000005694,8
Supplier#000005760,8
Supplier#000006311,8
Supplier#000006456,8
Supplier#000006468,8
Supplier#000006739,8
Supplier#000007315,8
Supplier#000007386,8
Supplier#000007503,8
Supplier#000007755,8
Supplier#000007893,8
Supplier#000007920,8
Supplier#000008717,8
Supplier#000008720,8
Supplier#000008759,8
Supplier#000009030,8
Supplier#000009276,8
Supplier#000000239,7
Supplier#000000323,7
Supplier#000000461,7
Supplier#000000658,7
Supplier#000000799,7
Supplier#000000809,7
Supplier#000000893,7
Supplier#000001121,7
Supplier#000001579,7
Supplier#000002201,7
Supplier#000002229,7
Supplier#000002249,7
Supplier#000002294,7
Supplier#000002848,7
Supplier#000003232,7
Supplier#000003513,7
Supplier#000004075,7
Supplier#000004136,7
Supplier#000004178,7
Supplier#000004279,7
Supplier#000004374,7
Supplier#000004907,7
Supplier#000005010,7
Supplier#000005135,7
Supplier#000005507,7
Supplier#000005771,7
Supplier#000005904,7
Supplier#000005979,7
Supplier#000006068,7
Supplier#000006472,7
Supplier#000007166,7
Supplier#000007802,7
Supplier#000008096,7
Supplier#000008118,7
Supplier#000008183,7
Supplier#000008406,7
Supplier#000008511,7
Supplier#000008891,7
Supplier#000009016,7
Supplier#000009140,7
Supplier#000009158,7
Supplier#000009389,7
Supplier#000000785,6
Supplier#000000986,6
Supplier#000001962,6
Supplier#000002338,6
Supplier#000002345,6
Supplier#000003037,6
Supplier#000003167,6
Supplier#000003245,6
Supplier#000004753,6
Supplier#000006320,6
Supplier#000006330,6
Supplier#000006830,6
Supplier#000007206,6
Supplier#000007471,6
Supplier#000007788,6
Supplier#000008544,6
Supplier#000008727,6
Supplier#000008946,6
Supplier#000009119,6
Supplier#000009213,6
Supplier#000009225,6
Supplier#000009457,6
Supplier#000009605,6
Supplier#000009870,6
Supplier#000000199,5
Supplier#000000408,5
Supplier#000000574,5
Supplier#000002333,5
Supplier#000002572,5
Supplier#000002920,5
Supplier#000003070,5
Supplier#000003605,5
Supplier#000003745,5
Supplier#000004311,5
Supplier#000005414,5
Supplier#000005562,5
Supplier#000005645,5
Supplier#000005827,5
Supplier#000006001,5
Supplier#000006212,5
Supplier#000006554,5
Supplier#000006650,5
Supplier#000007145,5
Supplier#000007342,5
Supplier#000007360,5
Supplier#000007396,5
Supplier#000008097,5
Supplier#000008314,5
Supplier#000008435,5
Supplier#000009056,5
Supplier#000004730,4
Supplier#000005338,4
Supplier#000006666,2
