ps_partkey,value
39320,17265190.38
92013,16840077.82
187732,15956310.29
154595,15818043.0
144695,15394740.92
170878,15365771.63
102776,15340892.99
82578,15236559.9
70584,15033405.5
32448,15032391.58
169899,15027297.8
116672,14428875.96
42309,14374372.23
146201,14345932.16
191213,14338840.02
18373,14147712.76
97824,14124001.52
86201,14109350.23
147430,13587968.01
6099,13568292.56
98416,13562942.17
32427,13468416.75
177031,13229402.79
191814,13220791.2
144269,13214563.64
78110,13155152.88
106663,13108812.44
9915,13084878.4
142572,13070105.82
53209,12956946.85
173807,12948181.54
134193,12728386.71
47041,12721138.33
120787,12589940.26
122772,12589089.35
149254,12484357.71
62941,12462602.78
59805,12452292.61
62991,12404329.4
189779,12333689.71
153083,12290245.2
160523,12282431.74
29376,12250262.02
83356,12226147.18
100427,12166395.88
55650,12166029.48
116929,12022236.99
5625,11978812.5
16211,11958830.05
60278,11940119.6
152050,11907382.62
162429,11835748.59
37935,11805806.94
81913,11772301.04
66289,11694799.19
193682,11645552.45
72990,11625789.5
30644,11615504.5
173382,11589837.03
66201,11554285.52
173151,11499974.94
134876,11476423.51
47486,11456792.28
13124,11429089.71
141648,11425229.68
101273,11415866.22
124415,11412743.24
114165,11411437.88
184269,11405933.01
133571,11384904.68
98296,11384011.11
92463,11297255.28
118277,11276064.77
26301,11256816.0
162468,11234547.58
24294,11190293.47
47935,11186351.17
143807,11102896.59
190874,11088831.47
59545,11067524.02
38795,10953708.74
37044,10893319.39
119173,10884565.42
178185,10850057.56
182427,10808040.42
71913,10795160.78
73124,10716710.84
150440,10709662.44
152974,10701669.81
161639,10637409.22
23196,10629363.93
121239,10624790.52
169235,10588069.7
180161,10574327.46
178260,10531197.04
92055,10504346.54
131256,10503057.67
99153,10497844.66
58416,10489898.42
82058,10453989.94
68282,10408566.79
19722,10391318.36
58083,10372573.79
14659,10325617.15
176985,10313500.0
169990,10311939.54
2082,10304802.38
192034,10302217.19
169913,10291242.41
30676,10286217.51
177598,10269309.94
154544,10240964.47
108260,10224297.3
173705,10203577.95
67077,10197072.64
142003,10178206.76
69408,10177625.5
77075,10170127.51
162034,10143855.88
181606,10137654.68
196762,10117729.01
144759,10085302.28
183737,10044869.36
101695,10042900.92
