s_acctbal,s_name,n_name,p_partkey,p_mfgr,s_address,s_phone,s_comment
9967.45,Supplier#000002302,FRANCE,174750,Manufacturer#5,wems  3YggC7QhknXxkm7IPtEl,16-486-165-5642,"ake after the silent, even packages. quickl"
9934.44,Supplier#000009762,GERMANY,194723,Manufacturer#1, zsPDGm0S 855ZDWb6D6R3,17-758-315-1893, regular deposits; blithely regular deposits serve across the carefully fin
9915.38,Supplier#000006085,ROMANIA,171050,Manufacturer#1,8XhxUTe6JiQYJB7dXLSclk,29-528-113-9241,"y bold foxes? regular, express deposits boost s"
9870.78,Supplier#000001286,GERMANY,96267,Manufacturer#5,3gq0mZLHI5OTM6 tBYmLTHZaulCYnlECzQ7nj,17-516-924-4574,into beans haggle at the quickly final asymptotes. unusu
9847.19,Supplier#000006422,UNITED KINGDOM,61409,Manufacturer#2,2pWHoUeGwZZqlURI3xDaySl1mcNHlVjDOz,33-182-240-4174,al instructions. quickly final packages sleep accounts! unusual ideas above
9833.84,Supplier#000007439,ROMANIA,149896,Manufacturer#3,"w23HgK36ivPG,P86Vc0l3HJYCPpNK3GMqtV9b",29-341-370-8531,regular instructions above the quickly ironic pinto beans mold thinly fi
9828.21,Supplier#000000647,UNITED KINGDOM,38143,Manufacturer#3,vV6Teq1EvLlR,33-258-202-4782,mong the carefully quiet accounts slee
9822.22,Supplier#000003440,UNITED KINGDOM,118417,Manufacturer#1,SX8VBEyE4Jwr9U6X1nr9da0YKjZTPX,33-495-208-7899,urts. special accounts use quickly.
9817.97,Supplier#000008787,GERMANY,146272,Manufacturer#3,"oWgx99Ko ZaD7s5gA2nrT45C,Dg5BK1qi",17-929-294-2305,"ep carefully according to the slyly final requests. even accounts snooze along the close, un"
9817.1,Supplier#000002352,RUSSIA,119840,Manufacturer#3,XfLCj71HKHnPqgvs7KNgPKcOWoWxo2w,32-551-831-1437,al packages doze always according to the quickly f
9767.99,Supplier#000000135,GERMANY,187616,Manufacturer#2,mW6tr2ad6Un87EcYE f0Fi,17-290-812-8855,"al, even foxes-- carefully bold packages cajole final packages."
9759.38,Supplier#000000044,GERMANY,55033,Manufacturer#2,Hm9uFgnDFi2hNdUVsqbjHFtf,17-713-930-5667,even deposits. furiously e
9749.51,Supplier#000008566,FRANCE,11062,Manufacturer#2,phhrwLZJkpwBzYjL9mgaBPsEa0YSfb4yPJQZUwAq,16-158-515-4201,iously slyly silent accounts. furious
9747.49,Supplier#000003280,FRANCE,38273,Manufacturer#3,8ydvMIb0rWlg3dLHtRhO1SKQkni,16-794-822-3737,ans solve. slyly regular tithes hang quickly. blithely even requests are fl
9747.42,Supplier#000006533,RUSSIA,161500,Manufacturer#4,"KHeOx,K6pkeOzWcn,xRH2d7o RiL",32-905-947-7274,l deposits doze fluffily slyly ironic asymptotes. q
9739.86,Supplier#000003384,FRANCE,195826,Manufacturer#1,D01XwXbcILNwmrGS6ZPrVhZxO40i,16-494-913-5925,es. carefully regular ideas cajole. quickly ironic requests haggle. pending sentiment
9738.88,Supplier#000001394,UNITED KINGDOM,76379,Manufacturer#1,8WOsi2rJ7c53YK0TqQ8MfgD,33-490-926-5968,ously special deposits wake bold 
9652.21,Supplier#000007618,RUSSIA,67617,Manufacturer#3,"GfPS0,B,T1 Mo8u3B2y",32-642-503-8109,sly. fluffily regular packages are furiously bold packages. carefully 
9638.25,Supplier#000008486,UNITED KINGDOM,125973,Manufacturer#3,EKypexldOl8YfOVPW0zDTCsa3,33-489-227-9233,s cajole carefully. carefully pending deposits wake along the furiou
9625.15,Supplier#000006339,RUSSIA,186338,Manufacturer#1,Un9gkABzdsJWF0HDaHa  ork,32-998-703-5244,quests. furiously final accounts sleep. blithely pending 
9595.09,Supplier#000003669,UNITED KINGDOM,21166,Manufacturer#4,uucXZqpnLMWwigkwf4J1lz4sDLNqKzTC8AUg,33-852-933-2119," slyly above the silent, unusual packages. sly"
9571.83,Supplier#000004305,ROMANIA,186750,Manufacturer#4,Bdj1T5EostLveb9ocRbz,29-973-481-1831,fully: fluffily special deposits use fur
9495.38,Supplier#000006008,ROMANIA,176007,Manufacturer#2,"u,pHtcsGtTtaWVUwXS6xrWMdk",29-164-591-2533,y ironic ideas nag. pending foxes dou
9481.98,Supplier#000005068,FRANCE,160035,Manufacturer#2,GtvpJHEHlDTSV0qv8D Co,16-491-789-4986,"equests about the final, ironic deposits affix furiously bold foxes. never bold acc"
9468.72,Supplier#000003136,GERMANY,25629,Manufacturer#2,MsRtbHyZ5cCE7GQ,17-835-332-2709,eath the quickly unusual pinto beans. unus
9408.65,Supplier#000007772,UNITED KINGDOM,57771,Manufacturer#4,"rIoV2rj0KNy,IT",33-152-491-1126,s nag quickly regular packages. carefully express pinto beans about th
9408.65,Supplier#000007772,UNITED KINGDOM,135258,Manufacturer#4,"rIoV2rj0KNy,IT",33-152-491-1126,s nag quickly regular packages. carefully express pinto beans about th
9296.94,Supplier#000004143,ROMANIA,44142,Manufacturer#1,0wuJsWqBbMa GmtkV aKYVez2pJ,29-195-404-4570,slyly regular depths above the quickly 
9296.94,Supplier#000004143,ROMANIA,171625,Manufacturer#4,0wuJsWqBbMa GmtkV aKYVez2pJ,29-195-404-4570,slyly regular depths above the quickly 
9280.27,Supplier#000007194,ROMANIA,154678,Manufacturer#3,tJ96aHp8 l3uiq38LiDHswtk9bHMg,29-318-454-2133,tes. carefully regular accounts are carefully since the waters. accounts cajole? carefully bold
9249.35,Supplier#000003973,FRANCE,76451,Manufacturer#1,OZSkIozfU4FYizk4e091MZHozL1qcHe257J89bW,16-722-866-1658,beans. slyly ironic dependencies cajole furiously furiously regular ideas. boldly even requests hagg
9249.35,Supplier#000003973,FRANCE,163972,Manufacturer#4,OZSkIozfU4FYizk4e091MZHozL1qcHe257J89bW,16-722-866-1658,beans. slyly ironic dependencies cajole furiously furiously regular ideas. boldly even requests hagg
9208.7,Supplier#000007769,ROMANIA,7768,Manufacturer#4,AzIENtMrVCSbrjyUu8,29-964-424-9649, ironic requests among the deposits affix busily ironic accounts. slow pinto beans are blithely fi
9198.31,Supplier#000000025,RUSSIA,190024,Manufacturer#5,aoagce3elDACNssVvTLcQl55Up6EYA,32-431-945-3541,"quickly pending accounts cajole blithely against the ironic, pending theodolites. even, silent reque"
9192.1,Supplier#000000115,UNITED KINGDOM,22608,Manufacturer#1,EhrYy0MT5M1vfZ0V4skpifdp6pgFz5,33-597-248-1220,"onic instructions. ironic, regular deposits haggle f"
9180.76,Supplier#000005776,FRANCE,193256,Manufacturer#4,WyFuVfKXRaqyo8 hCRzlUg4rVB,16-713-108-8117,y slyly ironic accounts. bold pinto beans sleep blithely. blithely pending requests aft
9161.51,Supplier#000003429,FRANCE,95901,Manufacturer#2,"nqDY4coy,kGA0tU",16-542-608-8183,"anent, even deposits nag according to the ironic requests. requ"
